EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanDNBR,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,NumberCellsSeverity4,NumberCellsSeverity5,
216, 17, 886, 140, 14.985494671222, 266, 371, Accidental, 2, 67, 1952, 2181, 17.3277938149254, 16.8054908699563, 270.359554791045, 0, 18.64, 0.321669979718028, 1054.99, 0, 685909, 3, 16, 10, 5, 33, 
217, 17, 761, 394, 3.03534583567333, 319, 102, Accidental, 1, 9, 241, 331, 11.3633856, 11.5497362398599, 151.382346, 0, 3.04, 0.292738219916945, 643.44, 0, 114592, 2, 2, 3, 0, 2, 
218, 18, 794, 253, 2.38041050260894, 28, 94, Accidental, 1, 3, 102, 131, 14.1962796, 14.3482996589345, 96.119137, 0, 2.38, 0.291531626708966, 849.33, 0, 35831, 0, 1, 1, 0, 1, 
219, 18, 743, 500, 1.67593068749209, 29, 111, Accidental, 4, 60, 1501, 1806, 15.26952606, 16.1965420086881, 237.11555215, 0, 3.17, 0.29283156984971, 744.62, 0, 792836, 9, 15, 6, 4, 26, 
220, 18, 826, 275, 0.952158543276653, 40, 76, Accidental, 1, 3, 9, 22, 10.4204352, 7.61804352835235, 70.565409, 0, 0.99, 0.288910526670192, 198.33, 0, 3252, 1, 2, 0, 0, 0, 
221, 18, 952, 118, 7.01056540820713, 66, 152, Accidental, 1, 11, 346, 415, 12.0952296, 12.1438890625808, 97.869806, 0, 7.01, 0.300124122065181, 488.45, 0, 75564, 1, 3, 4, 1, 2, 
222, 18, 766, 300, 13.8325086779508, 71, 237, Lightning, 1, 15, 509, 509, 32.3263368, 30.851109367258, 149.904947, 0, 13.83, 0.313043205972992, 2000, 0, 296514, 0, 0, 0, 0, 15, 
223, 18, 912, 175, 4.00312048113522, 76, 114, Accidental, 1, 1, 23, 42, 10.6259472, 9.50012642741566, 261.219543, NaN, 4, NaN, 211, 0, 3928, 0, 1, 0, 0, 0, 
224, 18, 712, 198, 6.94286509972839, 79, 151, Accidental, 1, 1, 42, 49, 11.1500604, 10.3168029304746, 29.620556, NaN, 6.94, NaN, 263, 0, 12177, 0, 1, 0, 0, 0, 
225, 18, 994, 74, 18.2035296609523, 212, 291, Accidental, 1, 23, 651, 811, 13.2968664, 13.0862970243113, 284.807897, 0, 18.2, 0.321477789911735, 543.65, 0, 201220, 4, 3, 9, 1, 6, 
226, 18, 707, 587, 8.24241045531178, 213, 200, Accidental, 1, 26, 320, 632, 8.6703516, 10.1267456204158, 274.3161175, 0, 9.56, 0.304620067436532, 259.62, 0, 179607, 18, 6, 0, 0, 2, 
227, 18, 993, 47, 16.0026135038291, 223, 264, Accidental, 1, 28, 725, 1063, 10.261728, 9.16505635349816, 340.925994, 0, 16, 0.317215764258629, 236.86, 0, 166075, 5, 20, 2, 1, 0, 
228, 18, 689, 498, 19.4791626287236, 240, 307, Accidental, 1, 3, 75, 101, 10.5816672, 12.117174984132, 237.988131, 0, 19.48, 0.323961763989097, 281.33, 0, 22510, 0, 2, 0, 1, 0, 
229, 18, 698, 361, 15.4358949813296, 246, 257, Accidental, 1, 9, 147, 279, 7.2462636, 6.66029667780346, 258.62045, 0, 15.44, 0.316123234980602, 149.44, 0, 53614, 9, 0, 0, 0, 0, 
230, 18, 806, 158, 15.667237650666, 249, 260, Accidental, 1, 11, 266, 430, 8.1818244, 7.50657923341022, 324.631468, 0, 15.67, 0.316568976851961, 185.45, 0, 57863, 8, 3, 0, 0, 0, 
231, 18, 816, 501, 19.3479553593597, 253, 309, Accidental, 1, 5, 113, 133, 13.51530432, 11.8787932397766, 9.85960179999998, 0, 19.55, 0.324071864148939, 348.4, 0, 55171, 1, 1, 2, 0, 1, 
232, 18, 774, 161, 21.0211886266047, 283, 326, Accidental, 1, 33, 749, 782, 16.0793934545455, 18.5497852170142, 64.4576531818182, 0, 21.07, 0.32707415630389, 1513.48, 0, 355898, 1, 2, 2, 1, 27, 
233, 18, 708, 354, 14.8889687105846, 292, 279, Accidental, 2, 59, 1519, 1646, 13.249588881356, 16.4296484136596, 272.502477288136, 0, 15.6, 0.316225987564326, 813.76, 0, 690216, 7, 5, 7, 6, 34, 
234, 18, 843, 148, 16.2496195412815, 295, 267, Lightning, 1, 35, 1184, 1321, 14.1974712, 15.0258767302794, 20.456643, 0, 16.25, 0.317692578612964, 805.11, 0, 418213, 1, 8, 3, 5, 18, 
235, 18, 842, 123, 18.5232888749733, 317, 295, Accidental, 1, 2, 66, 66, 22.0125744, 21.6393801815382, 56.638778, 0, 18.52, 0.322099499688346, 2000, 0, 25647, 0, 0, 0, 0, 2, 
236, 18, 943, 180, 26.9815687693526, 323, 401, Accidental, 1, 40, 1391, 1406, 20.2564512, 19.4192380308482, 67.074406, 0, 26.98, 0.33876890732587, 1956.08, 0, 448462, 0, 1, 0, 0, 39, 
237, 18, 957, 160, 24.1698526009979, 325, 409, Accidental, 3, 171, 5690, 5820, 23.6916019157895, 23.8420741360022, 279.138699596491, 0, 27.51, 0.339512591230289, 1541.8, 0, 1666087, 3, 0, 1, 11, 156, 
238, 18, 719, 74, 11.6637923618985, 335, 210, Accidental, 1, 27, 263, 531, 13.5932256, 13.0143182406874, 335.058746, 0, 11.66, 0.308903342548104, 288.11, 0, 248243, 16, 7, 2, 0, 2, 
239, 18, 761, 484, 12.6201311479717, 356, 222, Accidental, 1, 4, 72, 72, 26.5177152, 27.1520752985429, 222.600196, 0, 12.62, 0.310725169695402, 2000, 0, 47379, 0, 0, 0, 0, 4, 
240, 19, 849, 97, 6.16934461206009, 23, 141, Accidental, 1, 21, 289, 351, 16.11117, 15.7322729456048, 106.730389, 0, 6.17, 0.298552280423633, 594.48, 0, 182850, 5, 3, 5, 2, 6, 
241, 19, 974, 125, 5.45422687092048, 37, 138, Accidental, 3, 47, 1115, 1443, 11.3074519404255, 12.0333484704122, 156.464977, 0, 5.17, 0.296747425703444, 332.34, 0, 348084, 13, 14, 10, 4, 6, 
242, 19, 801, 43, 5.87426076680297, 61, 138, Accidental, 1, 1, 10, 12, 12.357342, 16.2437679829922, 84.201796, NaN, 5.87, NaN, 457, 0, 9161, 0, 0, 0, 1, 0, 
243, 19, 766, 265, 5.33834210106386, 67, 131, Accidental, 1, 1, 28, 42, 13.3604532, 10.7008989382804, 109.591999, NaN, 5.34, NaN, 224, 0, 17313, 0, 1, 0, 0, 0, 
244, 19, 880, 181, 15.9266042540424, 85, 263, Accidental, 1, 11, 282, 282, 28.8299304, 28.0551770571832, 37.794454, 0, 15.93, 0.317069114995875, 2000, 0, 143072, 0, 0, 0, 0, 11, 
245, 19, 695, 329, 19.2679251946743, 150, 305, Accidental, 1, 1, 18, 20, 13.7386296, 13.78089273673, 282.661374, NaN, 19.27, NaN, 409, 0, 6436, 0, 0, 0, 1, 0, 
246, 19, 856, 48, 14.8443517944084, 228, 249, Accidental, 1, 7, 76, 178, 6.6453048, 5.75428456327725, 16.312942, 0, 14.84, 0.314985010211264, 132.86, 0, 37954, 7, 0, 0, 0, 0, 
247, 19, 755, 410, 7.08465536548565, 285, 153, Accidental, 1, 20, 170, 449, 8.02251, 7.33814686998476, 113.827787, 0, 7.08, 0.300262787276041, 135.7, 0, 94864, 20, 0, 0, 0, 0, 
248, 19, 749, 517, 17.276959893634, 290, 280, Accidental, 1, 12, 302, 433, 12.0802341, 13.046891143492, 85.0682483333333, 0, 17.5, 0.319679829480217, 248.92, 0, 122119, 2, 8, 1, 1, 0, 
249, 19, 707, 120, 19.4696375559217, 294, 275, Lightning, 2, 46, 637, 817, 16.1919363130435, 15.4392815934983, 147.269913217391, 0, 19.24, 0.323830761113027, 601.8, 0, 424092, 7, 9, 5, 6, 19, 
250, 19, 794, 161, 29.1232808797158, 313, 427, Lightning, 1, 60, 2372, 2372, 25.0264116, 23.2413579997459, 340.463186000001, 0, 29.12, 0.343056087700526, 1919.58, 0, 1071686, 0, 0, 0, 0, 60, 
251, 19, 920, 165, 23.4838593703776, 320, 357, Lightning, 1, 28, 965, 981, 20.1258864, 19.7336130480822, 272.677081, 0, 23.48, 0.331824134614787, 1724.29, 0, 303587, 0, 2, 0, 0, 26, 
252, 20, 725, 521, 5.025186899403, 35, 127, Accidental, 1, 1, 5, 16, 12.454884, 7.07955783906892, 14.9526, NaN, 5.03, NaN, 114, 0, 4972, 1, 0, 0, 0, 0, 
