SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 230, 0, 18.1791631392829, Lightning, 
1, 230, 1, 18.1791631392829, Rx, 
1, 231, 4, 19.0350478967828, Accidental, 
1, 231, 0, 19.0350478967828, Lightning, 
1, 231, 1, 19.0350478967828, Rx, 
1, 232, 5, 13.9325517188625, Accidental, 
1, 233, 5, 13.5680379596102, Accidental, 
1, 234, 5, 16.8759459753321, Accidental, 
1, 234, 1, 16.8759459753321, Rx, 
1, 235, 5, 16.1780473734466, Accidental, 
1, 235, 0, 16.1780473734466, Lightning, 
1, 235, 1, 16.1780473734466, Rx, 
1, 236, 5, 17.5287650879047, Accidental, 
1, 236, 1, 17.5287650879047, Rx, 
1, 237, 4, 19.3322001389022, Accidental, 
1, 237, 0, 19.3322001389022, Lightning, 
1, 237, 1, 19.3322001389022, Rx, 
1, 238, 5, 16.6978703624763, Accidental, 
1, 238, 1, 16.6978703624763, Rx, 
1, 239, 5, 14.5303724593127, Accidental, 
1, 240, 5, 16.5857308784744, Accidental, 
1, 240, 0, 16.5857308784744, Lightning, 
1, 240, 1, 16.5857308784744, Rx, 
1, 241, 5, 18.5438636793477, Accidental, 
1, 241, 1, 18.5438636793477, Rx, 
1, 242, 5, 20.3828357231356, Accidental, 
1, 242, 0, 20.3828357231356, Lightning, 
1, 242, 1, 20.3828357231356, Rx, 
1, 243, 4, 25.615175159616, Accidental, 
1, 243, 0, 25.615175159616, Lightning, 
1, 243, 1, 25.615175159616, Rx, 
1, 244, 4, 29.8477853154884, Accidental, 
1, 244, 0, 29.8477853154884, Lightning, 
1, 244, 1, 29.8477853154884, Rx, 
1, 245, 4, 22.660484549277, Accidental, 
1, 245, 0, 22.660484549277, Lightning, 
1, 245, 1, 22.660484549277, Rx, 
1, 246, 5, 17.2934675609659, Accidental, 
1, 246, 1, 17.2934675609659, Rx, 
1, 247, 5, 14.0441808331363, Accidental, 
1, 247, 0, 14.0441808331363, Lightning, 
1, 248, 5, 12.2049159124627, Accidental, 
1, 249, 5, 12.2924638986831, Accidental, 
1, 250, 5, 13.1734789322168, Accidental, 
1, 250, 0, 13.1734789322168, Lightning, 
1, 251, 5, 12.7309500428847, Accidental, 
1, 251, 0, 12.7309500428847, Lightning, 
1, 252, 6, 13.1624050169287, Accidental, 
1, 252, 0, 13.1624050169287, Lightning, 
1, 253, 5, 12.9633140331241, Accidental, 
1, 254, 5, 11.0659902586141, Accidental, 
1, 254, 0, 11.0659902586141, Lightning, 
1, 255, 5, 13.7192380973822, Accidental, 
1, 256, 5, 13.6585140026184, Accidental, 
1, 257, 6, 12.1159728712087, Accidental, 
1, 257, 0, 12.1159728712087, Lightning, 
1, 258, 5, 12.4610775759594, Accidental, 
1, 258, 0, 12.4610775759594, Lightning, 
1, 259, 5, 12.9353136529111, Accidental, 
1, 259, 0, 12.9353136529111, Lightning, 
1, 260, 5, 12.7601021856123, Accidental, 
1, 260, 0, 12.7601021856123, Lightning, 
1, 261, 4, 18.9316958972497, Accidental, 
1, 261, 0, 18.9316958972497, Lightning, 
1, 261, 1, 18.9316958972497, Rx, 
1, 262, 5, 16.5625688841547, Accidental, 
1, 262, 0, 16.5625688841547, Lightning, 
1, 262, 1, 16.5625688841547, Rx, 
1, 263, 5, 16.02343795693, Accidental, 
1, 263, 0, 16.02343795693, Lightning, 
1, 263, 1, 16.02343795693, Rx, 
1, 264, 5, 12.0507123364278, Accidental, 
1, 264, 0, 12.0507123364278, Lightning, 
1, 265, 5, 11.3846141381678, Accidental, 
