"","FRI","mean","ID","Model","rep"
"290",5,5920.51441303343,"Whiteoaks","MRI-CGCM3",2
"291",1,1125.06228373702,"XeriredOaks","MRI-CGCM3",2
"292",2,1519.65829986613,"XeriredOaks","MRI-CGCM3",2
"293",3,1630.78588289874,"XeriredOaks","MRI-CGCM3",2
"294",4,NA,"XeriredOaks","MRI-CGCM3",2
"295",5,1651.12266980893,"XeriredOaks","MRI-CGCM3",2
"296",1,17.4878892733564,"XeriHwd","MRI-CGCM3",2
"297",2,27.9175591253905,"XeriHwd","MRI-CGCM3",2
"298",3,25.354824184371,"XeriHwd","MRI-CGCM3",2
"299",4,NA,"XeriHwd","MRI-CGCM3",2
"300",5,22.5347682061656,"XeriHwd","MRI-CGCM3",2
"301",1,438.643598615917,"WhitePine","MRI-CGCM3",2
"302",2,569.948850959393,"WhitePine","MRI-CGCM3",2
"303",3,599.665902547519,"WhitePine","MRI-CGCM3",2
"304",4,NA,"WhitePine","MRI-CGCM3",2
"305",5,658.657066088268,"WhitePine","MRI-CGCM3",2
"306",1,616.141868512111,"Maples","MRI-CGCM3",2
"307",2,977.242748772869,"Maples","MRI-CGCM3",2
"308",3,1201.8870877509,"Maples","MRI-CGCM3",2
"309",4,NA,"Maples","MRI-CGCM3",2
"310",5,1429.00257915611,"Maples","MRI-CGCM3",2
"311",1,2450.11418685121,"MesicHard","MRI-CGCM3",2
"312",2,3290.7786702365,"MesicHard","MRI-CGCM3",2
"313",3,3793.05620369233,"MesicHard","MRI-CGCM3",2
"314",4,NA,"MesicHard","MRI-CGCM3",2
"315",5,4153.28873339799,"MesicHard","MRI-CGCM3",2
"316",1,0,"Hemlock","MRI-CGCM3",2
"317",2,0.771809460062472,"Hemlock","MRI-CGCM3",2
"318",3,1.2336157845184,"Hemlock","MRI-CGCM3",2
"319",4,NA,"Hemlock","MRI-CGCM3",2
"320",5,2.07605382163502,"Hemlock","MRI-CGCM3",2
"321",1,48.1190876280375,"Yellowpines","HadGEM",3
"322",2,79.091566114187,"Yellowpines","HadGEM",3
"323",3,89.3396546425197,"Yellowpines","HadGEM",3
"324",4,NA,"Yellowpines","HadGEM",3
"325",5,78.864233327648,"Yellowpines","HadGEM",3
"326",1,2782.88761927028,"Whiteoaks","HadGEM",3
"327",2,3435.44980724336,"Whiteoaks","HadGEM",3
"328",3,3904.42544763292,"Whiteoaks","HadGEM",3
"329",4,NA,"Whiteoaks","HadGEM",3
"330",5,4182.59121879404,"Whiteoaks","HadGEM",3
"331",1,589.142057658869,"XeriredOaks","HadGEM",3
"332",2,795.374091002603,"XeriredOaks","HadGEM",3
"333",3,923.887070152873,"XeriredOaks","HadGEM",3
